Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1924/07/21,1924,07,21,NYA192407210,Detroit Tigers,New York Yankees,Yankee Stadium I,Ducky Holmes,George Moriarty,(none),(none),,,Ducky Holmes;George Moriarty,,
1924/07/22,1924,07,22,NYA192407220,Detroit Tigers,New York Yankees,Yankee Stadium I,George Moriarty,Ducky Holmes,(none),(none),,,George Moriarty;Ducky Holmes,,
1924/07/23,1924,07,23,NYA192407230,Detroit Tigers,New York Yankees,Yankee Stadium I,Ducky Holmes,George Moriarty,(none),(none),,,Ducky Holmes;George Moriarty,,
1924/07/24,1924,07,24,NYA192407240,Detroit Tigers,New York Yankees,Yankee Stadium I,George Moriarty,Ducky Holmes,(none),(none),,,George Moriarty;Ducky Holmes,Joe Dugan ejected by Ducky Holmes,
1924/08/13,1924,08,13,NYA192408131,St.Louis Browns,New York Yankees,Yankee Stadium I,George Moriarty,Dick Nallin,(none),George Hildebrand,,,George Moriarty;Dick Nallin;George Hildebrand,,
1924/08/13,1924,08,13,NYA192408132,St.Louis Browns,New York Yankees,Yankee Stadium I,Dick Nallin,George Hildebrand,(none),George Moriarty,,,Dick Nallin;George Hildebrand;George Moriarty,,
1924/08/14,1924,08,14,NYA192408140,St.Louis Browns,New York Yankees,Yankee Stadium I,George Hildebrand,George Moriarty,(none),Dick Nallin,,,George Hildebrand;George Moriarty;Dick Nallin,Bob Shawkey ejected by George Hildebrand,
1924/08/16,1924,08,16,NYA192408160,Chicago White Sox,New York Yankees,Yankee Stadium I,George Moriarty,Dick Nallin,(none),George Hildebrand,,,George Moriarty;Dick Nallin;George Hildebrand,,
1924/08/17,1924,08,17,NYA192408170,Chicago White Sox,New York Yankees,Yankee Stadium I,Dick Nallin,George Hildebrand,(none),George Moriarty,,,Dick Nallin;George Hildebrand;George Moriarty,,
1924/08/18,1924,08,18,NYA192408180,Chicago White Sox,New York Yankees,Yankee Stadium I,George Hildebrand,George Moriarty,(none),Dick Nallin,,,George Hildebrand;George Moriarty;Dick Nallin,,
1924/08/22,1924,08,22,NYA192408220,Detroit Tigers,New York Yankees,Yankee Stadium I,Tommy Connolly,Red Ormsby,(none),Bill Dinneen,,,Tommy Connolly;Red Ormsby;Bill Dinneen,,
1924/08/23,1924,08,23,NYA192408230,Detroit Tigers,New York Yankees,Yankee Stadium I,Red Ormsby,Bill Dinneen,(none),Tommy Connolly,,,Red Ormsby;Bill Dinneen;Tommy Connolly,,
1924/08/24,1924,08,24,NYA192408240,Detroit Tigers,New York Yankees,Yankee Stadium I,Bill Dinneen,Tommy Connolly,(none),Red Ormsby,,,Bill Dinneen;Tommy Connolly;Red Ormsby,,
1924/08/25,1924,08,25,NYA192408250,Cleveland Guardians,New York Yankees,Yankee Stadium I,Red Ormsby,Bill Dinneen,(none),(none),,,Red Ormsby;Bill Dinneen,,
1924/08/27,1924,08,27,NYA192408271,Cleveland Guardians,New York Yankees,Yankee Stadium I,Bill Dinneen,Red Ormsby,(none),(none),,,Bill Dinneen;Red Ormsby,,
1924/08/27,1924,08,27,NYA192408272,Cleveland Guardians,New York Yankees,Yankee Stadium I,Red Ormsby,Bill Dinneen,(none),(none),,,Red Ormsby;Bill Dinneen,,
1924/08/28,1924,08,28,NYA192408280,Washington Senators,New York Yankees,Yankee Stadium I,Ducky Holmes,Dick Nallin,(none),George Moriarty,,,Ducky Holmes;Dick Nallin;George Moriarty,,
1924/08/29,1924,08,29,NYA192408290,Washington Senators,New York Yankees,Yankee Stadium I,Dick Nallin,George Moriarty,(none),Ducky Holmes,,,Dick Nallin;George Moriarty;Ducky Holmes,,
1924/08/30,1924,08,30,NYA192408300,Washington Senators,New York Yankees,Yankee Stadium I,George Moriarty,Ducky Holmes,(none),Dick Nallin,,,George Moriarty;Ducky Holmes;Dick Nallin,,
1924/08/31,1924,08,31,NYA192408310,Washington Senators,New York Yankees,Yankee Stadium I,Ducky Holmes,Dick Nallin,(none),George Moriarty,,,Ducky Holmes;Dick Nallin;George Moriarty,George Mogridge ejected by Ducky Holmes;Bucky Harris ejected by Ducky Holmes,
1924/09/01,1924,09,01,NYA192409011,Boston Red Sox,New York Yankees,Yankee Stadium I,Dick Nallin,George Moriarty,(none),Ducky Holmes,,,Dick Nallin;George Moriarty;Ducky Holmes,,
1924/09/01,1924,09,01,NYA192409012,Boston Red Sox,New York Yankees,Yankee Stadium I,George Moriarty,Ducky Holmes,(none),Dick Nallin,,,George Moriarty;Ducky Holmes;Dick Nallin,,
1924/09/02,1924,09,02,NYA192409021,Boston Red Sox,New York Yankees,Yankee Stadium I,Ducky Holmes,Dick Nallin,(none),George Moriarty,,,Ducky Holmes;Dick Nallin;George Moriarty,,
1924/09/02,1924,09,02,NYA192409022,Boston Red Sox,New York Yankees,Yankee Stadium I,Dick Nallin,Ducky Holmes,(none),(none),,,Dick Nallin;Ducky Holmes,,
1924/09/03,1924,09,03,NYA192409030,Boston Red Sox,New York Yankees,Yankee Stadium I,Ducky Holmes,Dick Nallin,(none),(none),,,Ducky Holmes;Dick Nallin,,
1924/09/04,1924,09,04,NYA192409040,Philadelphia Athletics,New York Yankees,Yankee Stadium I,Dick Nallin,Ducky Holmes,(none),(none),,,Dick Nallin;Ducky Holmes,,
1924/09/06,1924,09,06,NYA192409060,Philadelphia Athletics,New York Yankees,Yankee Stadium I,Ducky Holmes,Dick Nallin,(none),(none),,,Ducky Holmes;Dick Nallin,,
1924/04/23,1924,04,23,PHA192404230,Washington Senators,Philadelphia Athletics,Shibe Park,Dick Nallin,Pants Rowland,(none),Billy Evans,,,Dick Nallin;Pants Rowland;Billy Evans,,
1924/04/24,1924,04,24,PHA192404240,Washington Senators,Philadelphia Athletics,Shibe Park,Pants Rowland,Billy Evans,(none),Dick Nallin,,,Pants Rowland;Billy Evans;Dick Nallin,,
1924/04/25,1924,04,25,PHA192404250,Washington Senators,Philadelphia Athletics,Shibe Park,Billy Evans,Dick Nallin,(none),Pants Rowland,,,Billy Evans;Dick Nallin;Pants Rowland,,
1924/04/26,1924,04,26,PHA192404260,Washington Senators,Philadelphia Athletics,Shibe Park,Dick Nallin,Pants Rowland,(none),Billy Evans,,,Dick Nallin;Pants Rowland;Billy Evans,,
1924/04/28,1924,04,28,PHA192404280,New York Yankees,Philadelphia Athletics,Shibe Park,Pants Rowland,Tommy Connolly,(none),Bill Dinneen,,,Pants Rowland;Tommy Connolly;Bill Dinneen,,
1924/05/01,1924,05,01,PHA192405010,Boston Red Sox,Philadelphia Athletics,Shibe Park,Dick Nallin,Billy Evans,(none),(none),,,Dick Nallin;Billy Evans,,
1924/05/02,1924,05,02,PHA192405020,Boston Red Sox,Philadelphia Athletics,Shibe Park,Billy Evans,Dick Nallin,(none),(none),,,Billy Evans;Dick Nallin,,
1924/05/03,1924,05,03,PHA192405030,Boston Red Sox,Philadelphia Athletics,Shibe Park,Dick Nallin,Billy Evans,(none),(none),,,Dick Nallin;Billy Evans,,
1924/05/10,1924,05,10,PHA192405100,Cleveland Guardians,Philadelphia Athletics,Shibe Park,Brick Owens,Ducky Holmes,(none),(none),,,Brick Owens;Ducky Holmes,Chick Fewster ejected by Brick Owens,
1924/05/13,1924,05,13,PHA192405130,Cleveland Guardians,Philadelphia Athletics,Shibe Park,Ducky Holmes,Brick Owens,(none),(none),,,Ducky Holmes;Brick Owens,,
1924/05/14,1924,05,14,PHA192405140,Detroit Tigers,Philadelphia Athletics,Shibe Park,Ducky Holmes,Brick Owens,(none),(none),,,Ducky Holmes;Brick Owens,,
1924/05/15,1924,05,15,PHA192405150,Detroit Tigers,Philadelphia Athletics,Shibe Park,Brick Owens,Ducky Holmes,(none),(none),,,Brick Owens;Ducky Holmes,,
1924/05/17,1924,05,17,PHA192405170,Detroit Tigers,Philadelphia Athletics,Shibe Park,Brick Owens,George Moriarty,(none),Ducky Holmes,,,Brick Owens;George Moriarty;Ducky Holmes,,
1924/05/19,1924,05,19,PHA192405190,Chicago White Sox,Philadelphia Athletics,Shibe Park,Bill Dinneen,Tommy Connolly,(none),(none),,,Bill Dinneen;Tommy Connolly,,
1924/05/22,1924,05,22,PHA192405220,Chicago White Sox,Philadelphia Athletics,Shibe Park,Tommy Connolly,Bill Dinneen,(none),(none),,,Tommy Connolly;Bill Dinneen,,
1924/05/23,1924,05,23,PHA192405230,St.Louis Browns,Philadelphia Athletics,Shibe Park,Tommy Connolly,Bill Dinneen,(none),(none),,,Tommy Connolly;Bill Dinneen,,
1924/05/24,1924,05,24,PHA192405240,St.Louis Browns,Philadelphia Athletics,Shibe Park,Bill Dinneen,Tommy Connolly,(none),(none),,,Bill Dinneen;Tommy Connolly,,
1924/05/26,1924,05,26,PHA192405260,St.Louis Browns,Philadelphia Athletics,Shibe Park,Tommy Connolly,Bill Dinneen,(none),(none),,,Tommy Connolly;Bill Dinneen,,
1924/05/28,1924,05,28,PHA192405282,Boston Red Sox,Philadelphia Athletics,Shibe Park,George Hildebrand,Pants Rowland,(none),Red Ormsby,,,George Hildebrand;Pants Rowland;Red Ormsby,,
1924/06/02,1924,06,02,PHA192406020,Washington Senators,Philadelphia Athletics,Shibe Park,Red Ormsby,George Hildebrand,(none),Pants Rowland,,,Red Ormsby;George Hildebrand;Pants Rowland,,
1924/06/30,1924,06,30,PHA192406301,New York Yankees,Philadelphia Athletics,Shibe Park,George Moriarty,Bill Dinneen,(none),(none),,,George Moriarty;Bill Dinneen,,
1924/06/30,1924,06,30,PHA192406302,New York Yankees,Philadelphia Athletics,Shibe Park,Bill Dinneen,George Moriarty,(none),(none),,,Bill Dinneen;George Moriarty,,
1924/07/01,1924,07,01,PHA192407010,New York Yankees,Philadelphia Athletics,Shibe Park,George Moriarty,Bill Dinneen,(none),(none),,,George Moriarty;Bill Dinneen,,
1924/07/02,1924,07,02,PHA192407021,New York Yankees,Philadelphia Athletics,Shibe Park,George Moriarty,Bill Dinneen,(none),(none),,,George Moriarty;Bill Dinneen,,
1924/07/02,1924,07,02,PHA192407022,New York Yankees,Philadelphia Athletics,Shibe Park,George Moriarty,Bill Dinneen,(none),(none),,,George Moriarty;Bill Dinneen,,
1924/07/03,1924,07,03,PHA192407030,New York Yankees,Philadelphia Athletics,Shibe Park,George Moriarty,Bill Dinneen,(none),(none),,,George Moriarty;Bill Dinneen,,
1924/07/05,1924,07,05,PHA192407051,Boston Red Sox,Philadelphia Athletics,Shibe Park,George Moriarty,Bill Dinneen,(none),(none),,,George Moriarty;Bill Dinneen,,
1924/07/05,1924,07,05,PHA192407052,Boston Red Sox,Philadelphia Athletics,Shibe Park,George Moriarty,Bill Dinneen,(none),(none),,,George Moriarty;Bill Dinneen,,
1924/07/08,1924,07,08,PHA192407080,Cleveland Guardians,Philadelphia Athletics,Shibe Park,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,,
1924/07/09,1924,07,09,PHA192407091,Cleveland Guardians,Philadelphia Athletics,Shibe Park,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1924/07/09,1924,07,09,PHA192407092,Cleveland Guardians,Philadelphia Athletics,Shibe Park,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,,
1924/07/10,1924,07,10,PHA192407100,Cleveland Guardians,Philadelphia Athletics,Shibe Park,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1924/07/11,1924,07,11,PHA192407110,Cleveland Guardians,Philadelphia Athletics,Shibe Park,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,Tris Speaker ejected by Bill Dinneen,
1924/07/12,1924,07,12,PHA192407120,Detroit Tigers,Philadelphia Athletics,Shibe Park,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1924/07/15,1924,07,15,PHA192407150,Detroit Tigers,Philadelphia Athletics,Shibe Park,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1924/07/16,1924,07,16,PHA192407161,Chicago White Sox,Philadelphia Athletics,Shibe Park,George Hildebrand,Red Ormsby,(none),Tommy Connolly,,,George Hildebrand;Red Ormsby;Tommy Connolly,,
1924/07/16,1924,07,16,PHA192407162,Chicago White Sox,Philadelphia Athletics,Shibe Park,Red Ormsby,Tommy Connolly,(none),George Hildebrand,,,Red Ormsby;Tommy Connolly;George Hildebrand,,
1924/07/17,1924,07,17,PHA192407170,Chicago White Sox,Philadelphia Athletics,Shibe Park,Tommy Connolly,George Hildebrand,(none),Red Ormsby,,,Tommy Connolly;George Hildebrand;Red Ormsby,,
1924/07/18,1924,07,18,PHA192407180,Chicago White Sox,Philadelphia Athletics,Shibe Park,George Hildebrand,Red Ormsby,(none),Tommy Connolly,,,George Hildebrand;Red Ormsby;Tommy Connolly,,
1924/07/19,1924,07,19,PHA192407191,Chicago White Sox,Philadelphia Athletics,Shibe Park,Red Ormsby,Tommy Connolly,(none),George Hildebrand,,,Red Ormsby;Tommy Connolly;George Hildebrand,,
1924/07/19,1924,07,19,PHA192407192,Chicago White Sox,Philadelphia Athletics,Shibe Park,Tommy Connolly,George Hildebrand,(none),Red Ormsby,,,Tommy Connolly;George Hildebrand;Red Ormsby,,
1924/07/21,1924,07,21,PHA192407210,St.Louis Browns,Philadelphia Athletics,Shibe Park,Red Ormsby,Tommy Connolly,(none),George Hildebrand,,,Red Ormsby;Tommy Connolly;George Hildebrand,,
1924/07/22,1924,07,22,PHA192407220,St.Louis Browns,Philadelphia Athletics,Shibe Park,George Hildebrand,Tommy Connolly,(none),Red Ormsby,,,George Hildebrand;Tommy Connolly;Red Ormsby,,
1924/07/23,1924,07,23,PHA192407230,St.Louis Browns,Philadelphia Athletics,Shibe Park,Tommy Connolly,Red Ormsby,(none),George Hildebrand,,,Tommy Connolly;Red Ormsby;George Hildebrand,,
1924/07/24,1924,07,24,PHA192407240,St.Louis Browns,Philadelphia Athletics,Shibe Park,Red Ormsby,George Hildebrand,(none),Tommy Connolly,,,Red Ormsby;George Hildebrand;Tommy Connolly,,
1924/08/13,1924,08,13,PHA192408131,Detroit Tigers,Philadelphia Athletics,Shibe Park,Billy Evans,Ducky Holmes,(none),(none),,,Billy Evans;Ducky Holmes,,
1924/08/13,1924,08,13,PHA192408132,Detroit Tigers,Philadelphia Athletics,Shibe Park,Ducky Holmes,Billy Evans,(none),(none),,,Ducky Holmes;Billy Evans,,
1924/08/14,1924,08,14,PHA192408140,Detroit Tigers,Philadelphia Athletics,Shibe Park,Billy Evans,Ducky Holmes,(none),(none),,,Billy Evans;Ducky Holmes,,
1924/08/15,1924,08,15,PHA192408150,Detroit Tigers,Philadelphia Athletics,Shibe Park,Ducky Holmes,Billy Evans,(none),(none),,,Ducky Holmes;Billy Evans,,
1924/08/16,1924,08,16,PHA192408161,Cleveland Guardians,Philadelphia Athletics,Shibe Park,Billy Evans,Ducky Holmes,(none),(none),,,Billy Evans;Ducky Holmes,,
1924/08/16,1924,08,16,PHA192408162,Cleveland Guardians,Philadelphia Athletics,Shibe Park,Ducky Holmes,Billy Evans,(none),(none),,,Ducky Holmes;Billy Evans,,
1924/08/18,1924,08,18,PHA192408180,Cleveland Guardians,Philadelphia Athletics,Shibe Park,Billy Evans,Ducky Holmes,(none),(none),,,Billy Evans;Ducky Holmes,,
1924/08/19,1924,08,19,PHA192408190,Cleveland Guardians,Philadelphia Athletics,Shibe Park,Ducky Holmes,Billy Evans,(none),(none),,,Ducky Holmes;Billy Evans,,
1924/08/21,1924,08,21,PHA192408211,St.Louis Browns,Philadelphia Athletics,Shibe Park,Pants Rowland,Brick Owens,(none),(none),,,Pants Rowland;Brick Owens,,
1924/08/21,1924,08,21,PHA192408212,St.Louis Browns,Philadelphia Athletics,Shibe Park,Brick Owens,Pants Rowland,(none),(none),,,Brick Owens;Pants Rowland,,
1924/08/22,1924,08,22,PHA192408220,St.Louis Browns,Philadelphia Athletics,Shibe Park,Pants Rowland,Brick Owens,(none),(none),,,Pants Rowland;Brick Owens,,
1924/08/23,1924,08,23,PHA192408230,St.Louis Browns,Philadelphia Athletics,Shibe Park,Brick Owens,Pants Rowland,(none),(none),,,Brick Owens;Pants Rowland,,
1924/08/26,1924,08,26,PHA192408260,Chicago White Sox,Philadelphia Athletics,Shibe Park,Brick Owens,Pants Rowland,(none),(none),,,Brick Owens;Pants Rowland,,
1924/08/27,1924,08,27,PHA192408271,Chicago White Sox,Philadelphia Athletics,Shibe Park,Pants Rowland,Brick Owens,(none),(none),,,Pants Rowland;Brick Owens,,
1924/08/27,1924,08,27,PHA192408272,Chicago White Sox,Philadelphia Athletics,Shibe Park,Brick Owens,Pants Rowland,(none),(none),,,Brick Owens;Pants Rowland,,
1924/09/08,1924,09,08,PHA192409080,Washington Senators,Philadelphia Athletics,Shibe Park,Tommy Connolly,George Hildebrand,(none),(none),,,Tommy Connolly;George Hildebrand,,
1924/09/10,1924,09,10,PHA192409101,Washington Senators,Philadelphia Athletics,Shibe Park,Tommy Connolly,George Hildebrand,(none),(none),,,Tommy Connolly;George Hildebrand,,
1924/09/10,1924,09,10,PHA192409102,Washington Senators,Philadelphia Athletics,Shibe Park,George Hildebrand,Tommy Connolly,(none),(none),,,George Hildebrand;Tommy Connolly,,
1924/09/11,1924,09,11,PHA192409110,Washington Senators,Philadelphia Athletics,Shibe Park,Tommy Connolly,George Hildebrand,(none),(none),,,Tommy Connolly;George Hildebrand,,
1924/09/26,1924,09,26,PHA192409260,New York Yankees,Philadelphia Athletics,Shibe Park,Dick Nallin,Ducky Holmes,(none),Bill Dinneen,,,Dick Nallin;Ducky Holmes;Bill Dinneen,,
1924/09/27,1924,09,27,PHA192409270,New York Yankees,Philadelphia Athletics,Shibe Park,Ducky Holmes,Bill Dinneen,(none),Dick Nallin,,,Ducky Holmes;Bill Dinneen;Dick Nallin,,
1924/04/15,1924,04,15,PHI192404150,Boston Braves,Philadelphia Phillies,Baker Bowl,Hank O'Day,Barry McCormick,(none),(none),,,Hank O'Day;Barry McCormick,,
1924/04/16,1924,04,16,PHI192404160,Boston Braves,Philadelphia Phillies,Baker Bowl,Barry McCormick,Hank O'Day,(none),(none),,,Barry McCormick;Hank O'Day,,
1924/04/19,1924,04,19,PHI192404190,Brooklyn Dodgers,Philadelphia Phillies,Baker Bowl,Ernie Quigley,Bob Hart,(none),Monroe Sweeney,,,Ernie Quigley;Bob Hart;Monroe Sweeney,,
1924/04/21,1924,04,21,PHI192404210,Brooklyn Dodgers,Philadelphia Phillies,Baker Bowl,Monroe Sweeney,Ernie Quigley,(none),Bob Hart,,,Monroe Sweeney;Ernie Quigley;Bob Hart,,
1924/05/05,1924,05,05,PHI192405050,New York Giants,Philadelphia Phillies,Baker Bowl,Barry McCormick,Hank O'Day,(none),(none),,,Barry McCormick;Hank O'Day,,
1924/05/06,1924,05,06,PHI192405060,New York Giants,Philadelphia Phillies,Baker Bowl,Hank O'Day,Barry McCormick,(none),(none),,,Hank O'Day;Barry McCormick,,
1924/05/07,1924,05,07,PHI192405070,New York Giants,Philadelphia Phillies,Baker Bowl,Hank O'Day,Barry McCormick,(none),(none),,,Hank O'Day;Barry McCormick,,
1924/05/30,1924,05,30,PHI192405301,New York Giants,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/05/30,1924,05,30,PHI192405302,New York Giants,Philadelphia Phillies,Baker Bowl,Frank Wilson,Bill Klem,(none),(none),,,Frank Wilson;Bill Klem,Ross Youngs ejected by Bill Klem,
1924/05/31,1924,05,31,PHI192405310,New York Giants,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/06/03,1924,06,03,PHI192406030,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,Cy Rigler,Cy Pfirman,(none),Charlie Moran,,,Cy Rigler;Cy Pfirman;Charlie Moran,,
1924/06/04,1924,06,04,PHI192406040,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,Cy Pfirman,Charlie Moran,(none),Cy Rigler,,,Cy Pfirman;Charlie Moran;Cy Rigler,,
1924/06/05,1924,06,05,PHI192406050,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,Charlie Moran,Cy Rigler,(none),Cy Pfirman,,,Charlie Moran;Cy Rigler;Cy Pfirman,,
1924/06/06,1924,06,06,PHI192406060,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,Cy Rigler,Charlie Moran,(none),Cy Pfirman,,,Cy Rigler;Charlie Moran;Cy Pfirman,,
1924/06/07,1924,06,07,PHI192406070,Cincinnati Reds,Philadelphia Phillies,Baker Bowl,Cy Pfirman,Charlie Moran,(none),Cy Rigler,,,Cy Pfirman;Charlie Moran;Cy Rigler,,
1924/06/09,1924,06,09,PHI192406090,Cincinnati Reds,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/06/10,1924,06,10,PHI192406100,Cincinnati Reds,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/06/11,1924,06,11,PHI192406110,Cincinnati Reds,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/06/14,1924,06,14,PHI192406140,Pittsburgh Pirates,Philadelphia Phillies,Baker Bowl,Monroe Sweeney,Bob Hart,(none),Barry McCormick,,,Monroe Sweeney;Bob Hart;Barry McCormick,,
1924/06/16,1924,06,16,PHI192406160,Chicago Cubs,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/06/17,1924,06,17,PHI192406170,Chicago Cubs,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/06/18,1924,06,18,PHI192406180,Chicago Cubs,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/06/19,1924,06,19,PHI192406190,Chicago Cubs,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/06/26,1924,06,26,PHI192406260,Brooklyn Dodgers,Philadelphia Phillies,Baker Bowl,Barry McCormick,Bob Hart,(none),(none),,,Barry McCormick;Bob Hart,,
1924/06/28,1924,06,28,PHI192406281,Brooklyn Dodgers,Philadelphia Phillies,Baker Bowl,Barry McCormick,Cy Pfirman,(none),Bob Hart,,,Barry McCormick;Cy Pfirman;Bob Hart,,
1924/06/28,1924,06,28,PHI192406282,Brooklyn Dodgers,Philadelphia Phillies,Baker Bowl,Cy Pfirman,Bob Hart,(none),Barry McCormick,,,Cy Pfirman;Bob Hart;Barry McCormick,,
1924/07/25,1924,07,25,PHI192407250,Chicago Cubs,Philadelphia Phillies,Baker Bowl,Charlie Moran,Cy Rigler,(none),(none),,,Charlie Moran;Cy Rigler,Bill Killefer ejected by Charlie Moran,
1924/07/26,1924,07,26,PHI192407260,Chicago Cubs,Philadelphia Phillies,Baker Bowl,Cy Rigler,Charlie Moran,(none),(none),,,Cy Rigler;Charlie Moran,Art Fletcher ejected by Cy Rigler,
1924/07/28,1924,07,28,PHI192407280,Chicago Cubs,Philadelphia Phillies,Baker Bowl,Charlie Moran,Cy Rigler,(none),(none),,,Charlie Moran;Cy Rigler,,
1924/07/29,1924,07,29,PHI192407290,Chicago Cubs,Philadelphia Phillies,Baker Bowl,Cy Rigler,Charlie Moran,(none),(none),,,Cy Rigler;Charlie Moran,,
1924/07/30,1924,07,30,PHI192407300,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,Ernie Quigley,Monroe Sweeney,(none),Hank O'Day,,,Ernie Quigley;Monroe Sweeney;Hank O'Day,Johnny Stuart ejected by Ernie Quigley,
1924/07/31,1924,07,31,PHI192407310,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,Monroe Sweeney,Hank O'Day,(none),Ernie Quigley,,,Monroe Sweeney;Hank O'Day;Ernie Quigley,,
1924/08/02,1924,08,02,PHI192408021,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,Hank O'Day,Monroe Sweeney,(none),Ernie Quigley,,,Hank O'Day;Monroe Sweeney;Ernie Quigley,,
1924/08/02,1924,08,02,PHI192408022,St. Louis Cardinals,Philadelphia Phillies,Baker Bowl,Ernie Quigley,Monroe Sweeney,(none),Hank O'Day,,,Ernie Quigley;Monroe Sweeney;Hank O'Day,,
1924/08/06,1924,08,06,PHI192408060,Cincinnati Reds,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/08/07,1924,08,07,PHI192408070,Cincinnati Reds,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/08/08,1924,08,08,PHI192408080,Pittsburgh Pirates,Philadelphia Phillies,Baker Bowl,Cy Pfirman,Bob Hart,(none),(none),,,Cy Pfirman;Bob Hart,,
1924/08/09,1924,08,09,PHI192408091,Pittsburgh Pirates,Philadelphia Phillies,Baker Bowl,Bob Hart,Barry McCormick,(none),Cy Pfirman,,,Bob Hart;Barry McCormick;Cy Pfirman,,
1924/08/09,1924,08,09,PHI192408092,Pittsburgh Pirates,Philadelphia Phillies,Baker Bowl,Barry McCormick,Bob Hart,(none),Cy Pfirman,,,Barry McCormick;Bob Hart;Cy Pfirman,,
1924/08/11,1924,08,11,PHI192408111,Pittsburgh Pirates,Philadelphia Phillies,Baker Bowl,Cy Pfirman,Bob Hart,(none),Barry McCormick,,,Cy Pfirman;Bob Hart;Barry McCormick,Art Fletcher ejected by Cy Pfirman;Rabbit Maranville ejected by Cy Pfirman,
1924/08/11,1924,08,11,PHI192408112,Pittsburgh Pirates,Philadelphia Phillies,Baker Bowl,Bob Hart,Barry McCormick,(none),Cy Pfirman,,,Bob Hart;Barry McCormick;Cy Pfirman,Russ Wrightstone ejected by Cy Pfirman,
1924/08/28,1924,08,28,PHI192408281,Boston Braves,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/08/28,1924,08,28,PHI192408282,Boston Braves,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/08/30,1924,08,30,PHI192408301,Boston Braves,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/08/30,1924,08,30,PHI192408302,Boston Braves,Philadelphia Phillies,Baker Bowl,Bill Klem,Frank Wilson,(none),(none),,,Bill Klem;Frank Wilson,,
1924/09/01,1924,09,01,PHI192409011,Brooklyn Dodgers,Philadelphia Phillies,Baker Bowl,Cy Rigler,Charlie Moran,(none),Barry McCormick,,,Cy Rigler;Charlie Moran;Barry McCormick,,
1924/09/01,1924,09,01,PHI192409012,Brooklyn Dodgers,Philadelphia Phillies,Baker Bowl,Charlie Moran,Barry McCormick,(none),Cy Rigler,,,Charlie Moran;Barry McCormick;Cy Rigler,,
1924/09/02,1924,09,02,PHI192409021,Brooklyn Dodgers,Philadelphia Phillies,Baker Bowl,Barry McCormick,Cy Rigler,(none),Charlie Moran,,,Barry McCormick;Cy Rigler;Charlie Moran,,
1924/09/02,1924,09,02,PHI192409022,Brooklyn Dodgers,Philadelphia Phillies,Baker Bowl,Cy Rigler,Charlie Moran,(none),Barry McCormick,,,Cy Rigler;Charlie Moran;Barry McCormick,,
