Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1920/08/16,1920,08,16,BOS192008160,Detroit Tigers,Boston Red Sox,Fenway Park,Billy Evans,Bill Dinneen,(none),(none),,,Billy Evans;Bill Dinneen,,
1920/08/17,1920,08,17,BOS192008171,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Dinneen,Billy Evans,(none),(none),,,Bill Dinneen;Billy Evans,,
1920/08/17,1920,08,17,BOS192008172,Detroit Tigers,Boston Red Sox,Fenway Park,Billy Evans,Bill Dinneen,(none),(none),,,Billy Evans;Bill Dinneen,,
1920/08/18,1920,08,18,BOS192008180,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Dinneen,Billy Evans,(none),(none),,,Bill Dinneen;Billy Evans,,
1920/08/19,1920,08,19,BOS192008190,Detroit Tigers,Boston Red Sox,Fenway Park,Billy Evans,Bill Dinneen,(none),(none),,,Billy Evans;Bill Dinneen,,
1920/08/21,1920,08,21,BOS192008211,Cleveland Guardians,Boston Red Sox,Fenway Park,Bill Dinneen,Billy Evans,(none),(none),,,Bill Dinneen;Billy Evans,,
1920/08/21,1920,08,21,BOS192008212,Cleveland Guardians,Boston Red Sox,Fenway Park,Billy Evans,Bill Dinneen,(none),(none),,,Billy Evans;Bill Dinneen,,
1920/08/23,1920,08,23,BOS192008231,Cleveland Guardians,Boston Red Sox,Fenway Park,Bill Dinneen,Billy Evans,(none),(none),,,Bill Dinneen;Billy Evans,,
1920/08/23,1920,08,23,BOS192008232,Cleveland Guardians,Boston Red Sox,Fenway Park,Billy Evans,Bill Dinneen,(none),(none),,,Billy Evans;Bill Dinneen,,
1920/08/24,1920,08,24,BOS192008240,Cleveland Guardians,Boston Red Sox,Fenway Park,Bill Dinneen,Billy Evans,(none),(none),,,Bill Dinneen;Billy Evans,,
1920/08/25,1920,08,25,BOS192008250,St.Louis Browns,Boston Red Sox,Fenway Park,Ollie Chill,Brick Owens,(none),(none),,,Ollie Chill;Brick Owens,,
