Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1946/08/18,1946,08,18,ASW194608180,East All Stars,West All Stars,Comiskey Park I,Virgil Blueitt,Fred McCreary,rogab201,cockp201,,,Virgil Blueitt;Fred McCreary;rogab201;cockp201,,
1947/07/08,1947,07,08,NLS194707080,American League All Stars,National League All Stars,Wrigley Field,Jocko Conlan,Jim Boyer,Butch Henline,Art Passarella,,,Jocko Conlan;Jim Boyer;Butch Henline;Art Passarella,,Home: Art Passarella 5th inning;FirstBase: Butch Henline 5th inning;SecondBase: Jim Boyer 5th inning;ThirdBase: Jocko Conlan 5th inning
1947/07/27,1947,07,27,ASW194707270,East All Stars,West All Stars,Comiskey Park I,Virgil Blueitt,Fred McCreary,Mark Van Buren,Eulogio Penalver,,,Virgil Blueitt;Fred McCreary;Mark Van Buren;Eulogio Penalver,,
1947/07/29,1947,07,29,ASE194707290,West All Stars,East All Stars,Polo Grounds V,Fred McCreary,Eulogio Penalver,charo201,Lionel Bourne,,,Fred McCreary;Eulogio Penalver;charo201;Lionel Bourne,,
1948/07/13,1948,07,13,ALS194807130,National League All Stars,American League All Stars,Sportsman's Park III,Charlie Berry,Bill Stewart,Joe Paparella,Beans Reardon,,,Charlie Berry;Bill Stewart;Joe Paparella;Beans Reardon,,Home: Beans Reardon 5th inning;FirstBase: Joe Paparella 5th inning;SecondBase: Bill Stewart 5th inning;ThirdBase: Charlie Berry 5th inning
1948/08/22,1948,08,22,ASW194808220,East All Stars,West All Stars,Comiskey Park I,Virgil Blueitt,Fred McCreary,Walker West,suttm201,,,Virgil Blueitt;Fred McCreary;Walker West;suttm201,,
1948/08/24,1948,08,24,ASE194808240,West All Stars,East All Stars,Yankee Stadium I,Fred McCreary,Virgil Blueitt,,suttm201,,,Fred McCreary;Virgil Blueitt;suttm201,,
1949/07/12,1949,07,12,NLS194907120,American League All Stars,National League All Stars,Ebbets Field,Al Barlick,Cal Hubbard,Artie Gore,Bill Summers,Bill Grieve,Lee Ballanfant,Al Barlick;Cal Hubbard;Artie Gore;Bill Summers;Bill Grieve;Lee Ballanfant,,Home: Bill Summers 5th inning;FirstBase: Artie Gore 5th inning;SecondBase: Cal Hubbard 5th inning;ThirdBase: Lee Ballanfant 5th inning;RightField: (None) 5th inning
1950/07/11,1950,07,11,ALS195007110,National League All Stars,American League All Stars,Comiskey Park I,Bill McGowan,Babe Pinelli,Eddie Rommel,Jocko Conlan,Scotty Robb,Johnny Stevens,Bill McGowan;Babe Pinelli;Eddie Rommel;Jocko Conlan;Scotty Robb;Johnny Stevens,,Home: Babe Pinelli 5th inning;FirstBase: Eddie Rommel 5th inning;SecondBase: Jocko Conlan 5th inning;ThirdBase: Bill McGowan 5th inning
1951/07/10,1951,07,10,ALS195107100,National League All Stars,American League All Stars,Tiger Stadium,Art Passarella,Scotty Robb,Eddie Hurley,Lou Jorda,Frank Dascoli,Jim Honochick,Art Passarella;Scotty Robb;Eddie Hurley;Lou Jorda;Frank Dascoli;Jim Honochick,,Home: Scotty Robb 5th inning;FirstBase: Eddie Hurley 5th inning;SecondBase: Lou Jorda 5th inning;ThirdBase: Art Passarella 5th inning
1952/07/08,1952,07,08,NLS195207080,American League All Stars,National League All Stars,Shibe Park,Al Barlick,Charlie Berry,Dusty Boggess,Bill Summers,Hank Soar,Lon Warneke,Al Barlick;Charlie Berry;Dusty Boggess;Bill Summers;Hank Soar;Lon Warneke,,Home: Bill Summers 5th inning;FirstBase: Dusty Boggess 5th inning;SecondBase: Charlie Berry 5th inning;ThirdBase: Al Barlick 5th inning
1953/07/14,1953,07,14,NLS195307140,American League All Stars,National League All Stars,Crosley Field,Jocko Conlan,Johnny Stevens,Augie Donatelli,Bill McKinley,Larry Napp,Bill Engeln,Jocko Conlan;Johnny Stevens;Augie Donatelli;Bill McKinley;Larry Napp;Bill Engeln,,Home: Bill McKinley 5th inning;FirstBase: Augie Donatelli 5th inning;SecondBase: Johnny Stevens 5th inning;ThirdBase: Jocko Conlan 5th inning
1954/07/13,1954,07,13,ALS195407130,National League All Stars,American League All Stars,Cleveland Stadium,Eddie Rommel,Lee Ballanfant,Jim Honochick,Bill Stewart,Tom Gorman,Joe Paparella,Eddie Rommel;Lee Ballanfant;Jim Honochick;Bill Stewart;Tom Gorman;Joe Paparella,,Home: Bill Stewart 5th inning;FirstBase: Jim Honochick 5th inning;SecondBase: Lee Ballanfant 5th inning;ThirdBase: Eddie Rommel 5th inning
1955/07/12,1955,07,12,NLS195507120,American League All Stars,National League All Stars,County Stadium,Al Barlick,Hank Soar,Dusty Boggess,Bill Summers,Frank Secory,Ed Runge,Al Barlick;Hank Soar;Dusty Boggess;Bill Summers;Frank Secory;Ed Runge,,Home: Bill Summers 5th inning;FirstBase: Dusty Boggess 5th inning;SecondBase: Hank Soar 5th inning;ThirdBase: Al Barlick 5th inning
1956/07/10,1956,07,10,ALS195607100,National League All Stars,American League All Stars,Griffith Stadium,Charlie Berry,Babe Pinelli,Eddie Hurley,Artie Gore,Bill Jackowski,Red Flaherty,Charlie Berry;Babe Pinelli;Eddie Hurley;Artie Gore;Bill Jackowski;Red Flaherty,,Home: Babe Pinelli 5th inning;FirstBase: Eddie Hurley 5th inning;SecondBase: Artie Gore 5th inning;ThirdBase: Charlie Berry 5th inning
1957/07/09,1957,07,09,NLS195707090,American League All Stars,National League All Stars,Sportsman's Park III,Frank Dascoli,Larry Napp,Hal Dixon,Johnny Stevens,Stan Landes,Nestor Chylak,Frank Dascoli;Larry Napp;Hal Dixon;Johnny Stevens;Stan Landes;Nestor Chylak,,Home: Johnny Stevens 5th inning;FirstBase: Hal Dixon 5th inning;SecondBase: Larry Napp 5th inning;ThirdBase: Frank Dascoli 5th inning
