Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1940/08/07,1940,08,07,BOS194008072,New York Yankees,Boston Red Sox,Fenway Park,Bill McGowan,Lou Kolls,(none),Joe Rue,,,Bill McGowan;Lou Kolls;Joe Rue,,
1940/08/08,1940,08,08,BOS194008080,New York Yankees,Boston Red Sox,Fenway Park,Lou Kolls,Joe Rue,(none),Bill McGowan,,,Lou Kolls;Joe Rue;Bill McGowan,,
1940/08/16,1940,08,16,BOS194008160,Washington Senators,Boston Red Sox,Fenway Park,George Pipgras,Red Ormsby,(none),Bill Summers,,,George Pipgras;Red Ormsby;Bill Summers,,
1940/08/17,1940,08,17,BOS194008170,Washington Senators,Boston Red Sox,Fenway Park,Red Ormsby,Bill Summers,(none),George Pipgras,,,Red Ormsby;Bill Summers;George Pipgras,,
1940/08/18,1940,08,18,BOS194008180,Washington Senators,Boston Red Sox,Fenway Park,Bill Summers,George Pipgras,(none),Red Ormsby,,,Bill Summers;George Pipgras;Red Ormsby,,
1940/08/19,1940,08,19,BOS194008190,Cleveland Indians,Boston Red Sox,Fenway Park,George Pipgras,Eddie Rommel,George Moriarty,Cal Hubbard,,,George Pipgras;Eddie Rommel;George Moriarty;Cal Hubbard,,
1940/08/20,1940,08,20,BOS194008200,Cleveland Indians,Boston Red Sox,Fenway Park,Eddie Rommel,George Moriarty,Cal Hubbard,George Pipgras,,,Eddie Rommel;George Moriarty;Cal Hubbard;George Pipgras,,
1940/08/21,1940,08,21,BOS194008210,Cleveland Indians,Boston Red Sox,Fenway Park,George Moriarty,Cal Hubbard,George Pipgras,Eddie Rommel,,,George Moriarty;Cal Hubbard;George Pipgras;Eddie Rommel,Ossie Vitt ejected by George Moriarty,
1940/08/24,1940,08,24,BOS194008241,Detroit Tigers,Boston Red Sox,Fenway Park,George Pipgras,George Moriarty,(none),Cal Hubbard,,,George Pipgras;George Moriarty;Cal Hubbard,,
1940/08/24,1940,08,24,BOS194008242,Detroit Tigers,Boston Red Sox,Fenway Park,George Moriarty,Cal Hubbard,(none),George Pipgras,,,George Moriarty;Cal Hubbard;George Pipgras,,
1940/08/25,1940,08,25,BOS194008251,St.Louis Browns,Boston Red Sox,Fenway Park,Bill Summers,Steve Basil,(none),Bill Grieve,,,Bill Summers;Steve Basil;Bill Grieve,,
1940/08/25,1940,08,25,BOS194008252,St.Louis Browns,Boston Red Sox,Fenway Park,Steve Basil,Bill Grieve,(none),Bill Summers,,,Steve Basil;Bill Grieve;Bill Summers,,
1940/08/26,1940,08,26,BOS194008260,St.Louis Browns,Boston Red Sox,Fenway Park,Bill Grieve,Bill Summers,(none),Steve Basil,,,Bill Grieve;Bill Summers;Steve Basil,,
1940/08/28,1940,08,28,BOS194008280,Chicago White Sox,Boston Red Sox,Fenway Park,Bill Summers,Steve Basil,(none),Bill Grieve,,,Bill Summers;Steve Basil;Bill Grieve,,
1940/08/29,1940,08,29,BOS194008290,Chicago White Sox,Boston Red Sox,Fenway Park,Steve Basil,Bill Grieve,(none),Bill Summers,,,Steve Basil;Bill Grieve;Bill Summers,,
1940/09/04,1940,09,04,BOS194009041,Philadelphia Athletics,Boston Red Sox,Fenway Park,Eddie Rommel,Cal Hubbard,(none),George Moriarty,,,Eddie Rommel;Cal Hubbard;George Moriarty,,
1940/09/04,1940,09,04,BOS194009042,Philadelphia Athletics,Boston Red Sox,Fenway Park,Cal Hubbard,George Moriarty,(none),Eddie Rommel,,,Cal Hubbard;George Moriarty;Eddie Rommel,,
1940/09/05,1940,09,05,BOS194009050,Philadelphia Athletics,Boston Red Sox,Fenway Park,George Moriarty,Eddie Rommel,(none),Cal Hubbard,,,George Moriarty;Eddie Rommel;Cal Hubbard,,
1940/09/07,1940,09,07,BOS194009070,New York Yankees,Boston Red Sox,Fenway Park,Eddie Rommel,Cal Hubbard,(none),George Moriarty,,,Eddie Rommel;Cal Hubbard;George Moriarty,,
1940/09/08,1940,09,08,BOS194009080,New York Yankees,Boston Red Sox,Fenway Park,Cal Hubbard,George Moriarty,(none),Eddie Rommel,,,Cal Hubbard;George Moriarty;Eddie Rommel,,
1940/09/26,1940,09,26,BOS194009260,Washington Senators,Boston Red Sox,Fenway Park,Eddie Rommel,Bill McGowan,(none),George Moriarty,,,Eddie Rommel;Bill McGowan;George Moriarty,,
1940/09/27,1940,09,27,BOS194009270,Washington Senators,Boston Red Sox,Fenway Park,Bill McGowan,George Moriarty,(none),Eddie Rommel,,,Bill McGowan;George Moriarty;Eddie Rommel,,
1940/09/28,1940,09,28,BOS194009281,Philadelphia Athletics,Boston Red Sox,Fenway Park,George Moriarty,Eddie Rommel,(none),Bill McGowan,,,George Moriarty;Eddie Rommel;Bill McGowan,,
1940/09/28,1940,09,28,BOS194009282,Philadelphia Athletics,Boston Red Sox,Fenway Park,Eddie Rommel,Bill McGowan,(none),George Moriarty,,,Eddie Rommel;Bill McGowan;George Moriarty,,
